1	5
1	4
1	24
1	20
1	31
1	40
1	39
1	13
1	33
1	6
1	10
1	35
1	22
1	15
1	36
1	34
1	14
1	27
1	11
1	30
1	29
1	1
1	7
1	32
1	12
1	16
1	25
1	28
1	8
1	3
1	38
1	37
1	19
1	2
1	21
1	23
1	9
1	26
2	27
2	35
2	31
2	38
2	32
2	30
2	33
2	24
2	29
2	20
2	12
2	28
2	37
2	7
2	6
2	26
2	8
2	2
2	11
2	4
2	19
2	14
2	23
2	13
2	25
2	39
2	40
2	9
2	21
2	22
2	5
2	1
2	15
2	36
2	3
2	34
2	10
2	16
3	16
3	6
3	25
3	22
3	32
3	1
3	26
3	29
3	31
3	2
3	8
3	21
3	37
3	39
3	27
3	19
3	14
3	36
3	13
3	30
3	11
3	4
3	12
3	35
3	5
3	20
3	38
3	40
3	34
3	9
3	10
3	15
3	33
3	7
3	23
3	28
3	24
3	3
4	20
4	30
4	11
4	12
4	10
4	7
4	9
4	6
4	39
4	25
4	23
4	4
4	2
4	8
4	14
4	40
4	3
4	15
4	21
4	34
4	38
4	37
4	36
4	24
4	27
4	29
4	1
4	28
4	35
4	31
4	13
4	19
4	26
4	5
4	33
4	16
4	22
4	32
5	40
5	12
5	37
5	26
5	25
5	19
5	11
5	2
5	32
5	7
5	27
5	38
5	1
5	10
5	31
5	13
5	24
5	34
5	36
5	4
5	21
5	30
5	29
5	33
5	20
5	14
5	15
5	5
5	16
5	28
5	35
5	3
5	22
5	9
5	8
5	6
5	39
5	23
6	31
6	5
6	38
6	20
6	32
6	11
6	7
6	15
6	27
6	30
6	10
6	37
6	16
6	21
6	14
6	36
6	34
6	26
6	24
6	39
6	28
6	2
6	12
6	13
6	9
6	40
6	23
6	19
6	3
6	25
6	4
6	22
6	29
6	33
6	1
6	8
6	6
6	35
7	27
7	30
7	29
7	3
7	4
7	26
7	34
7	33
7	6
7	38
7	25
7	37
7	8
7	22
7	9
7	15
7	2
7	39
7	19
7	7
7	20
7	10
7	31
7	21
7	40
7	1
7	23
7	35
7	32
7	13
7	14
7	5
7	11
7	24
7	12
7	36
7	28
7	16
8	22
8	34
8	9
8	32
8	30
8	11
8	7
8	23
8	4
8	8
8	20
8	16
8	13
8	28
8	24
8	40
8	35
8	31
8	29
8	38
8	1
8	21
8	33
8	15
8	5
8	19
8	27
8	37
8	6
8	26
8	39
8	10
8	12
8	36
8	2
8	14
8	25
8	3
9	1
9	9
9	7
9	10
9	14
9	35
9	4
9	24
9	37
9	29
9	30
9	40
9	11
9	20
9	25
9	6
9	16
9	12
9	27
9	34
9	22
9	5
9	28
9	38
9	3
9	31
9	23
9	21
9	19
9	2
9	36
9	39
9	13
9	15
9	32
9	8
9	26
9	33
10	11
10	24
10	8
10	32
10	37
10	14
10	7
10	12
10	19
10	13
10	22
10	36
10	2
10	26
10	39
10	35
10	9
10	28
10	33
10	23
10	31
10	27
10	25
10	15
10	20
10	4
10	10
10	16
10	3
10	29
10	34
10	6
10	1
10	5
10	40
10	21
10	30
10	38
11	39
11	27
11	3
11	30
11	16
11	29
11	37
11	38
11	6
11	19
11	7
11	1
11	12
11	24
11	10
11	33
11	8
11	36
11	4
11	13
11	22
11	32
11	35
11	2
11	20
11	31
11	25
11	23
11	28
11	26
11	14
11	34
11	40
11	9
11	21
11	5
11	15
11	11
12	5
12	12
12	25
12	40
12	35
12	11
12	22
12	34
12	30
12	10
12	3
12	20
12	4
12	37
12	24
12	36
12	32
12	23
12	13
12	15
12	2
12	26
12	27
12	28
12	1
12	8
12	6
12	19
12	7
12	39
12	31
12	14
12	29
12	9
12	21
12	16
12	38
12	33
13	39
13	19
13	12
13	11
13	29
13	15
13	20
13	2
13	27
13	7
13	36
13	6
13	37
13	35
13	22
13	1
13	33
13	30
13	10
13	16
13	24
13	26
13	32
13	28
13	38
13	3
13	34
13	13
13	5
13	9
13	25
13	21
13	8
13	14
13	4
13	23
13	31
13	40
14	5
14	10
14	28
14	30
14	2
14	13
14	14
14	8
14	15
14	22
14	1
14	20
14	36
14	9
14	4
14	39
14	32
14	40
14	24
14	34
14	29
14	3
14	6
14	19
14	38
14	21
14	11
14	12
14	26
14	33
14	31
14	16
14	35
14	37
14	25
14	23
14	27
14	7
15	29
15	28
15	1
15	40
15	38
15	11
15	36
15	7
15	30
15	26
15	22
15	19
15	15
15	4
15	16
